up	down	left	right	up available	down available	left available	right available	angle to apple	reward
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.3751902054446409	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.42642437015748197	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.07382923710203919	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	-0.2
1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.05123416471284111	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.09363098782604577	-0.2
1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.07382923710203919	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.2501268036297606	0.7
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	-0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	-0.30136096834260173	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.34375779145580637	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.3239560407317998	-0.2
0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.35259513305544277	-1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.07382923710203919	-0.2
0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	-0.1250634018148803	-0.2
0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	-0.1564958158037148	0.1
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.1988926389169195	0.1
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.30136096834260173	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.34375779145580637	-1.0
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	-0.30136096834260173	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.34375779145580637	0.1
1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-0.3751902054446409	0.1
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	-0.42642437015748197	0.1
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.3751902054446409	-0.2
0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	-0.3239560407317998	0.1
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	-0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.1988926389169195	0.1
1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.17629756652772138	0.1
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.1250634018148803	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.2501268036297606	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.3239560407317998	0.1
0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	-0.3751902054446409	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.4396634198212465	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	-0.1250634018148803	0.1
0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.17629756652772138	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.1988926389169195	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.2501268036297606	0.1
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.17629756652772138	-1.0
0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.7
1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.28155921761859515	0.1
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	-0.2891361448920001	0.1
0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.2501268036297606	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	-0.2111174623675211	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	-0.21869438964092608	-1.0
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.1250634018148803	0.1
